どくとく[独特]  독특
たいせき[体積]  체적; 부피
たいそう[体操]  체조; 체육의 옛 이름
どうしても[如何しても]  아무리 하여도; 무슨 일이 있어도; 꼭
とくてい[特定]  특정
たいりく[大陸]  대륙; 지구상의 광대한 육지; 유럽을 이르는 말
もちあげる[持(ち)上げる]  들어 올리다; 쳐들다; 치켜세우다; 추어 주다
たいはん[大半]  태반; 과반; 대부분
どうか[如何か]  제발; 부디; 어떻게; 어떻게든; 어떤
たいぼく[大木]  거목; 큰 나무
ぼうし[防止]  방지
だいめいし[代名詞]  대명사; 대이름씨; 대표적·전형적인 것
たいよう[太陽]  태양; 해; 희망 등의 상징
たいら[平ら]  평평함; 평탄함; 산간의 평지; 다리를 펴서 편안한 자세를 취함
たいりつ[対立]  대립
たがい[互い]  서로; 교대로; 쌍방; 피차 마찬가지임; 서로 같은 처지임
たえず[絶えず]  늘; 끊임없이
だえん[楕円·橢円]  타원
そぼく[素朴]  소박
それでも  그런데도; 그래도; 그러나
それとも[其れとも]  그렇지 않으면; 아니면; 혹은
それる[逸れる]  빗가다; 빗맞다; 벗어나다
とうめい[透明]  투명
どうよう[同様]  같은 모양; 같음
そろばん[算盤·十露盤]  주판; 셈; 손익 계산; 수지
そん[損]  손; 손해; 불리함.
ぞんずる[存ずる]  ‘知る’의 겸사말; ‘思う’의 겸사말
もくじ[目次]  목차; 차례
どうよう[童謡]  동요
そんちょう[尊重]  존중
そんとく[損得]  손득; 손실과 이득; 손익
た[田]  논
た[他]  다름; 딴 일; 딴 것; 다른 사람; 남
たい[対]  대; 성질이 반대임; 또, 그것; 대…
とうじつ[当日]  당일
だいいち[第一]  제일; 첫 번째; 가장 중요한 것; 가장 뛰어남
どうじ[同時]  동시; 같은 때; 같은 시대
どうし[動詞]  동사
だいがくいん[大学院]  대학원
たいけい[体系]  체계
たいこ[太鼓]  북; ‘太鼓持ち’의 준말; ‘太鼓結び’의 준말
たいくつ[退屈]  지루함; 심심하고 따분함; 무료함
だい[大]  대; 큰; …의 크기
だい[題]  제; 책의 이름; 제목; 표제
だい-[第]  제…; 순서를 나타내는 수에 붙이는 말
どうせ[何うせ]  어차피; 어떻든; 내친 김에; 이왕
もち[持ち]  가짐; 소유; 지닌 사람; 가진 사람
たいしょう[対象]  대상; 목표; 상대; 인식 작용의 목적이 되는 것; 객체
たいしょう[対照]  대조; 두 개의 성질의 차가 뚜렷함; 딴 것과 맞추어 비교함
だいしょう[大小]  대소; 허리에 차는 큰 칼·작은 칼; 큰북과 작은북
たいき[大気]  대기; 공기; 마음이 너글너글함; 도량이 큼
ひげき[悲劇]  비극
ぞうだい[増大]  증대
そうさ[捜査]  수사
そうぞうしい[騒騒しい]  시끄럽다; 떠들썩하다
そうち[装置]  장치
-ら[等]  등; 들; 대강의 방향·장소·사물 따위를 나타냄
そうべつ[送別]  송별
らい[来]  내…; …래; 이래
-そく[足]  …족; 켤레
ぞくする[属する]  속하다; 딸리다; 맡기다; 부탁하다
ぬの[布]  직물의 총칭; 포목; 삼베와 무명; 수평·가로·평행의 뜻을 나타내는 말
ほんらい[本来]  본래; 당연; 도리
ひゃっかじてん[百科事典]  백과사전
よろしく[宜しく]  적당히; 적절히; 잘 부탁합니다; …에게 잘 전해 주십시오; 말씀 잘 드려 주십시오
そくりょく[速力]  속력
そうりだいじん[総理大臣]  총리 대신
ぞうり[草履]  짚신; 샌들
そせん[祖先]  조선; 선조; 조상
そしき[組織]  조직
にほん[日本]  일본
よる[因る]  인하다; 말미암다; 원인이 되다
にょうぼう[女房]  처; 마누라; 궁중에 방을 따로 가진 신분 높은 궁녀; 귀족의 시녀
よん[四]  사; 넷; 네 개
そのうえ[其の上]  더구나; 게다가; 또한
そのうち[其の内]  일간; 가까운 시일 안에; 머지않아; 그럭저럭
そなえる[備える]  준비하다; 대비하다; 갖추다; 구비하다; 마련하다
そのため[其の為]  그 때문에; 그 덕에
にっぽん[日本]  일본
そこで[其処で]  그래서; 그런데; 한데
そしつ[素質]  소질
にぶい[鈍い]  둔하다; 무디다; 굼뜨다; 느리다
そっち[其方]  →そちら
そっちょく[率直]  솔직
らいにち[来日]  내일; 외국인이 일본에 옴
にっか[日課]  일과
そんけい[尊敬]  존경
そんざい[存在]  존재
ほぼ[略·粗]  거의; 대부분; 대개
とうゆ[灯油]  등유
そんがい[損害]  손해; 파손
そのほか[其の外]  그 외; 기타
そのまま[其の儘]  그대로; 즉시; 꼭 닮음
そまつ[粗末]  허술하고 나쁨; 변변치 않음; 소홀히 다루는 모양
それなのに  그런데도; 그러함에도 불구하고
それなら  그렇다면; 그러면
そる[剃る]  박박 깎다; 면도하다
ぜんぱん[全般]  전반
なんて[何て]  …라고는; …라는; …이라니; …따위; …하다니
ぞうきん[雑巾]  걸레
ぜんりょく[全力]  전력
ぬう[縫う]  꿰매다; 바느질하다; 자수하다; 누비고 나아가다
そう-[総]  총…
-そう[艘]  …척
そうい[相違]  상위; 다름; 틀림
よみ[読み]  읽기; 수읽기; 훈독; 음독
ぞうか[増加]  증가
ぞうげん[増減]  증감
そうこ[倉庫]  창고
そうご[相互]  상호
そうさ[操作]  조작
そうさく[創作]  창작; 꾸며낸 일; 거짓
そうしき[葬式]  장례식
ぞうせん[造船]  조선
よかん[予感]  예감
よけい[余計]  물건이 남아 돌아감; 여분; 더욱; 한층 더; 쓸데없음; 불필요함
ぜんしゃ[前者]  전자
ひっくりかえす[引っ繰り返す]  뒤집다; 뒤엎다; 쓰러뜨리다; 넘어뜨리다
なんとも[何共]  정말; 참으로; 뭐라고; 무엇인지; 대단한 것은 아니다의 뜻을 나타냄
ぜんしん[前進]  전진
せんす[扇子]  선자; 접부채; 쥘 부채
せんせい[専制]  전제
せんぞ[先祖]  선조; 조상
なんとなく[何と無く]  왠지 모르게; 어쩐지; 무심히; 아무 생각 없이; 이렇다 할 것도 없이; 평범하게
ようりょう[要領]  요령
よき[予期]  예기
せんとう[先頭]  선두
せんめん[洗面]  세면; 세수
なんでも[何でも]  무엇이든지; 모두; 기어코; 어떻든지; 확실히는 모르나; 어쩌면
なんとか[何とか]  뭐라고; 무엇; 어떻게; 그럭저럭
せんたん[先端]  첨단; 뾰족한 끝; 선단; 시대·유행의 선두
なんで[何で]  어째서; 무슨 이유로; 왜
ぞう[象]  코끼리
せめる[攻める]  공격하다; 진격하다
せめる[責める]  비난하다; 나무라다; 괴롭히다; 고통을 주다; 재촉하다; 조르다
せめて[切めて·迫めて]  하다못해; 그런대로; 굳이; 억지로
せっする[接する]  접하다; 만나다; 바싹 가까이 대다
せっせと  열심히; 부지런히
ぜったい[絶対]  절대; 절대로; 무조건; 무슨 일이 있어도
せつぞく[接続]  접속
ぜつめつ[絶滅]  절멸; 근절
せっとく[説得]  설득
におう[匂う]  냄새가 나다; 향기가 나다; 색이 아름답게 빛나다; 운치가 있다
せともの[瀬戸物]  →せとやき; 도자기; 사기그릇
にがて[苦手]  다루기 어렵고 싫은 상대; 잘하지 못함; 서투름
ぜひとも  꼭; 무슨 일이 있어도
せまる[迫る]  다가오다; 다가가다; 바싹 따르다; 육박하다; 강요하다; 핍박하다
せりふ[台詞·科白·白]  대사; 틀에 박힌 말; 언사
せん[栓]  마개; 수도 따위의 개폐 장치
にがす[逃(が)す]  놓아 주다; 놓치다
-せん[戦]  …전; 전쟁; 시합
-せん[船]  …선; 배; 선박
ぜん[前]  이전; 앞; 전의; …의 앞
ぜん[善]  선; 올바르고 착함
ぜんご[前後]  앞뒤; 전후함; 정도
にえる[煮える]  삶아지다; 익다; 물이 끓다; 화가 나다
せいぞん[生存]  생존
ぜいたく[贅沢]  사치; 또, 비용이 많이 듦
せいぶつ[生物]  생물; →いきもの
せいぶん[成分]  성분
せいべつ[性別]  성별
にっこう[日光]  일광; 햇볕
せいふ[政府]  정부; →ないかく
せけん[世間]  세간; 세상; 사회; 세상 사람들; 활동·교제의 범위
せいれき[西暦]  서력; 서기
にじ[虹·霓]  무지개
-せき[隻]  …척; 배의 수효를 세는 말; 쌍으로 되어 있어야 할 것의 한 쪽을 세는 말
せおう[背負う]  짊어지다; 등에 메다; 업다; 지다; 떠맡다
せっけい[設計]  설계
せっきょくてき[積極的]  적극적
せっきん[接近]  접근
なんきょく[南極]  남극
せきたん[石炭]  석탄
せきどう[赤道]  적도
にごる[濁る]  탁하게 되다; 흐려지다; 탁음이 되다; 탁음 부호를 찍다
にこにこ  생긋생긋; 싱글벙글
せつび[設備]  설비; 시설
せつ[説]  설; 주장; 의견
せっかく[折角]  모처럼; 애써; 크게 별러서; 일부러; 애써서
よそ[余所·他所]  딴 곳; 남의 집; 전연 자기와 상관없는 일
よす[止す]  중지하다; 그만두다
なべ[鍋]  냄비; 냄비 요리; 하녀의 대표적 이름
すっぱい[酸っぱい]  시다; 시큼하다
ずらす  비키어 놓다; 특히, 겹치지 않도록 비키다
なつかしい[懐かしい]  그립다; 반갑다; 귀엽다
すみ[墨]  먹; 먹같이 갈아 쓰는 것; →すみいろ
ずのう[頭脳]  두뇌; 뇌; 머리; 판단력; 지력
なにか[何か]  뭔가; 무엇인가; 왜 그런지; 어쩐지
ずひょう[図表]  도표; 그래프
すんぽう[寸法]  길이; 치수; 작정; 순서; 형편; 모양
なぞ[謎]  수수께끼; 불가사의; 넌지시 말하여 깨닫게 함; 또, 그 말·짓거리
せい[所為]  원인; 이유; 탓
せい[姓]  성; 성씨; →かばね
せい[性]  성질; 성격; 남녀·자웅의 구별; 섹스; 인도 유럽어에서, 관사·명사·대명사 등에 있는 남성·여성·중성의 구별
せい[正]  정; 올바른 모양의 뜻; 상위의 벼슬
せい[生]  생; 소생; 가공하지 않음의 뜻
-ずみ[済み]  끝남; 필
なっとく[納得]  납득; 이해
すもう[相撲]  씨름; ‘すもうとり’의 준말
なでる[撫でる]  어루만지다; 쓰다듬다; 빗질하다; 위로하다; 무마하다
せいき[世紀]  세기
ぜいかん[税関]  세관
せいきゅう[請求]  청구; 요구
ずれる  어긋나다; 벗어나다
する[刷る]  박다; 찍다; 인쇄하다; 옷감에 염색본을 대고 문질러 무늬를 찍어 내다
なし[無し]  없음
ずるい[狡い]  교활하다; 능글맞다; 뺀들거리다
なぞなぞ[謎謎]  수수께끼
すれちがう[擦れ違う]  스치듯 지나가다; 엇갈리다
ひてい[否定]  부정
にくらしい[憎らしい]  밉살스럽다; 얄밉다
ひじ[肘·肱·臂]  팔꿈치; 팔꿈치 모양으로 구부러진 것
なぐさめる[慰める]  위로하다; 달래다
せいかい[正解]  정해; 그렇게 해 놓아, 나중에 좋았다고 생각함
せいげん[制限]  제한
せいけつ[清潔]  청결
ひざし[陽ざし]  볕이 쬠; 볕; 햇살
せいさく[製作]  제작
せいさく[制作]  제작; 예술 작품·방송 프로그램 따위를 만듦; 또, 그 작품.
よびかける[呼び掛ける]  소리를 지르다; 부르다; 의견의 찬동을 구하다; 설득하여 권하다
せいしょ[清書]  청서; 정서
にくむ[憎む]  미워하다; 증오하다; 시기하다; 반대하다; 비방하다
せいすう[整数]  정수
せいしん[精神]  정신
ようするに[要するに]  요컨대; 결국; 요약하면
-にくい[難い]  …하기 어렵다
ようじん[用心]  조심; 주의; 경계
せいぞう[製造]  제조
せいぜい[精精]  힘껏 노력하여; 힘 있는 한; 기껏; 겨우
なぐる[殴る]  세게 때리다; 세게 치다; 일을 겉날리다
せいちょう[生長]  생장; 초목 따위가 자람
よく-[翌]  다음 의; 이듬
せいど[制度]  제도
せいとう[政党]  정당
らくだい[落第]  낙제; 불합격; 또, 유급
にちよう[日曜]  일요; 일요일
せいのう[性能]  성능
せいび[整備]  정비
せいほうけい[正方形]  정방형; 정사각형; →ちょうほうけい
せいめい[生命]  생명; 수명; 목숨
なんべい[南米]  남미; 남아메리카
ようもう[羊毛]  양모; 양털
せいりつ[成立]  성립
じんぶつ[人物]  인물; 인품; 사람
しんりん[森林]  삼림
よう[様]  모양; 형태; 양식; 서풍; ‘서로 같다, 비슷하다’의 뜻
すいちょく[垂直]  수직
すいそ[水素]  수소
すいてい[推定]  추정
なにも[何も]  아무것도; 어떠한 일도; 무엇이나; 별로; 일부러
すいとう[水筒]  수통; 빨병
じんるい[人類]  인류
す[巣]  새·짐승·곤충 따위의 집; 사람이 사는 보금자리; 가정; 소굴
よいしょ  →よいさ; 치켜세우다; 부추기다
ひとごみ[人込み]  붐빔; 북적임; 또, 그 장소
しんろ[針路]  침로; 나아갈 길
どんぶり[丼]  ‘どんぶりばち’의 준말; ‘どんぶりめし’의 준말; 덮밥; ‘どんぶり物’의 준말
すえ[末]  끝; 마지막; 사물의 끝; 어떤 기간의 끝
すうじ[数字]  숫자; 몇 자
ひっくりかえる[ひっくり返る]  뒤집히다; 거꾸로 되다; 반대 관계로 되다; 역전하다
すいさん[水産]  수산
ずいひつ[随筆]  수필; 에세이
すいじ[炊事]  취사
すいじゅん[水準]  수준; ‘水準器’의 준말
すいじょうき[水蒸気]  수증기; 김
すいせん[推薦]  추천
なれる[馴れる]  친숙해지다; 따르다; 버릇없이 너무 친하게 굴다; 버릇없다
すきずき[好き好き]  각자 기호가 다름
すきとおる[透き通る]  비쳐 보이다; 투명하다; 소리가 맑다; 물건 사이를 통해 가다
すいへい[水平]  수평
すいへいせん[水平線]  수평선
すきま[透き間]  틈; 겨를; 짬
すいぶん[水分]  수분; 물기
なにぶん[何分]  다소간; 어떤; 무엇인가; 부디; 아무쪼록
なになに[何何]  뭐뭐; 무엇이라고
すいめん[水面]  수면; 물 표면
すいよう[水曜]  수요
すう[数]  수; 수효; 정수·분수·유리수·무리수·실수·허수 등의 총칭; 수…; 서넛 또는 대여섯의 수를 막연히 나타내는 말
なわ[縄]  새끼; 줄; 포승; 오랏줄
しんだん[診断]  진단
ゆのみ[湯飲み]  ‘湯飲み茶わん’의 준말; 찻잔; 찻종
しんじる[信じる]  →しんずる
しんしん[心身·身心]  심신; 마음과 몸; 정신과 신체
しんせん[新鮮]  신선
ひとこと[一言]  일언; 한마디 말
ゆだん[油断]  방심; 부주의
じんぞう[人造]  인조; 인공
しんだい[寝台]  침대
しんぞう[心臓]  심장; 염통; 중심부; 원동력
しんたい[身体]  신체; 몸
ほっきょく[北極]  북극
しんちょう[慎重]  신중
しんにゅう[侵入]  침입
しんぱん[審判]  심판; 판결; 심판원
じんぶんかがく[人文科学]  인문 과학
ひたい[額]  이마
しんよう[信用]  신용; 신용 거래; 신뢰함; 믿고 씀
じんめい[人命]  인명
ない[内]  내밀히; 몰래; 안; 내부
しんらい[信頼]  신뢰
ながい[永い]  아주 오래다; 영원하다
ず[図]  그림; 회화; 도면; 도형; 꼴; 모양·광경
すき[透き]  틈; 빈틈; 빈 곳; 겨를; 짬
すぎ[杉]  삼목
-すぎ[過ぎ]  지나감; 도가 지나침
すがた[姿]  모양; 모습; 형체; 형편; 상태
ずかん[図鑑]  도감
なる[成る]  되다; 이루어지다; …로 되다; …로 구성되다; 바라는 대로 되다; 성취되다
ずつう[頭痛]  두통; 전하여, 걱정; 근심
すくう[救う]  구하다; 건지다; 구원하다; 구제하다; 살리다
なる[生る]  열리다; 맺히다; 생기다; 생업으로 하다
ひっかかる[引っ掛かる]  걸리다; 무엇에 걸려 떨어지지 않다; 걸려들어 도중에 방해받다
すぐれる[優れる]  뛰어나다; 우수하다; 훌륭하다
ずけい[図形]  도형; 그림
ひっし[必死]  필사; 반드시 죽음; 죽기를 각오함; 단 한 수면 외통수가 될 듯한 형세
ほのお[炎]  불꽃; 불길
すじ[筋]  줄기; 얼거리; 줄거리; 가닥
なまいき[生意気]  건방짐; 주제넘음
-むけ[向け]  행선지·보낼 곳 또는 그 대상이 되는 것을 보임; …용
よぶん[余分]  여분; 나머지; 우수리; 덤; 더 이상
すずむ[涼む]  시원한 바람을 쐬다; 납량하다
すっきり  산뜻한 모양; 세련된 모양; 말끔한 모양
すっと  쑥; 쓱; 후련함; 상쾌함
よそく[予測]  예측
なにしろ[何しろ]  어쨌든; 여하튼; 아무튼
すなわち  즉; 곧; 즉석에; 당장에; 그 때
すず[鈴]  방울
すべて[総て·全て·凡て·都て]  전부; 모두; 전체
よせる[寄せる]  밀려오다; 바싹 옆으로 대다; 옆에 가까이 붙이어 대다; 의지하다
すまない[済まない]  미안하다
しわ[皺·皴]  주름; 구김살; 잔물결; 파문; 재정상의 모순이나 적자
しん[芯]  →しん2; 가지 끝에 자라는 싹
しる[汁]  즙; 물; 국; 최대의 몫을 차지하다
なす[為す·作す]  하다; 행하다
なが-[長]  긴; 오랜
しんくう[真空]  진공; 공기 따위의 물질이 전연 없는 공간; 일체의 실상은 공이라는 것
しんけい[神経]  신경
しんこく[深刻]  심각; 극히 잔인한 모양
しんこく[申告]  신고; 관청 따위에 알림
じんじ[人事]  인사; 인간사; 인간 사회에서 일어나는 일; 사람이 할 수 있는 일
なお[尚·猶]  역시; 여전히; 더구나; 오히려; 더욱이; 또한
しんずる[信ずる]  믿다; 의심하지 않다; 신용하다; 신앙하다
しんじん[新人]  신인; 신참; 신진; 신 사상을 가지고 시류에 앞서서 활약하는 사람
しんけん[真剣]  진검; 진짜 칼; 진심; 진지
しんこう[信仰]  신앙
しんこう[進行]  진행; 앞으로 나아감; 일이 진척됨; 진척
じんこう[人工]  인공
とめる[留める]  만류하다; 고정시키다; 붙박아 움직이지 않게 하다
しょうべん[小便]  소변; 오줌; 매매 계약을 중도에서 깨뜨림
しょうみ[正味]  정미; 겉 포장을 제외한 알맹이; 알맹이의 무게
しょうもう[消耗]  소모; 지침; 피곤해서 맥이 풀림
とまる[留(ま)る]  머물다; 붙박이다; 고정되다; 앉다; 쉬다
とりあえず[取(り)敢えず]  부랴부랴; 급히; 우선
じょおう[女王]  여왕; 여자 임금; 또, 왕후; 본디, 내친왕의 선지를 받지 못한 왕족의 여성
しょうぶ[勝負]  승부; 이김과 짐; 승부를 겨룸; 경기
とりあげる[取(り)上げる]  집어 들다; 들어 올리다; 빼앗다; 거둬들이다
とらえる[捕(ら)える]  잡다; 붙잡다; 인식·파악하다; 받아들이다
ともかく[兎も角]  하여간; 어쨌든; 여하튼
しょくたく[食卓]  식탁
ようき[陽気]  화려하고 왕성한 모양; 성질이 밝고 쾌활한 모양; 기후; 날씨; 만물이 생동하는 기운
ととのう[整う]  가락이 나다; 컨디션이 좋아지다; 가지런해지다; 형태가 갖추어지다; 정돈되다
ようし[用紙]  용지
しょくにん[職人]  직인; 장색; 공장
しょうりゃく[省略]  생략
しょじゅん[初旬]  초순; 상순
じょしゅ[助手]  조수; 조교
じょきょうじゅ[助教授]  조교수
どなる[怒鳴る·呶鳴る]  큰소리로 부르다; 고함치다; 호통치다; 야단치다
-どの[殿]  …님; 씨; 귀하
しょく[職]  직업; 일자리; 직무; 직책; 장색
-しょく[色]  …색; 색깔; 상태; 모양
しょくえん[食塩]  식염; 소금
とにかく[兎に角·左右]  하여간; 어쨌든; 좌우간
ながめる[眺める]  바라보다; 전망하다; 멀리 보다; 응시하다
どよう[土曜]  토요일
しょくりょう[食糧]  식량
しょくもつ[食物]  식물; 식품; 음식물
ともなう[伴う]  함께 가다; 따라가다; 상반하다; 어울리다; 맞다
しょくりょう[食料]  식료; 음식물; 식대
とどまる[止まる·留まる·停まる]  움직이지 않다; 머물다; 체재하다; 머무르다; 뒤에 남다
しょさい[書斎]  서재
ながれ[流れ]  흐름; 흐르는 물; 시내; 물결
しょせき[書籍]  서적; 책
しょほ[初歩]  초보; 초학; 첫걸음
しょもつ[書物]  서책; 책; 도서
ながめ[眺め]  바라봄; 또 그 경치; 생각에 잠기어 봄
しょめい[署名]  서명
しょり[処理]  처리; 조처; 처분
なかま[仲間]  한패; 동아리; 동류; 한무리
しらが[白髪]  백발; 머리카락처럼 잘게 찢은 삼이나 닥나무 껍질
しり[尻·臀·後]  궁둥이; 엉덩이; 뒤; 뒤쪽; 끝; 끝 부분
なかば[半ば]  절반; 복판; 중앙
なかみ[中身]  속; 알맹이; 칼의 몸; 특히, 칼날 부분
よび[予備]  예비; ‘予備役’의 준말
しょどう[書道]  서도; 서예
しろ[白]  백; 흰색; 색이 흰 것; 백인종
しろ[城]  성; 남이 들어가는 것을 허용치 않는 자기만의 영역
しろうと[素人]  훈련을 받지 않은 사람; 비전문가; 생무지; 취미삼아 하는 사람; 아마추어
ながびく[長引く]  오래 끌다; 지연되다
-じょう[畳]  …장
じょう[場]  장소; 곳; …장
じゅんちょう[順調]  순조
ところどころ[所所]  여기저기
しょうがい[障害]  장애; 장해; 방해; 방해물; ‘障害競走’의 준말
しょうがない[しょうが無い]  →しようがない.→しよう
しょうぎ[将棋]  장기
じょうき[蒸気]  증기; ‘川蒸気船’의 준말
じょうぎ[定規·定木]  정규; 자; 모범; 본보기
しょう[商]  장사; 상업; 상인; …상; 장사·장수의 뜻
しょう[章]  문장을 크게 나눈 한 단락; 문장의 단락을 세는 말; 훈장·포장·기장의 뜻
しょう[勝]  승; 승리; 지세·경치가 훌륭함; 또, 그런 곳
しょう[賞]  상; 상품
しょう[省]  성; 정부의 내각을 조직하는 행정 관청; 律令제 밑의 중앙 관청
じょう[上]  상; 훌륭한; 좋은; …에 관하여; …점에서
じょう[状]  모양; 상신서; …상; …모양
どける[退ける]  치우다; 비키다; 물리치다
とける[溶ける·解ける]  녹다; 풀리다; 금속이 용해하다
ところで  그런데; 그것은 그렇다 하고.; →ところ 15 b
しょうがくせい[小学生]  소학생; 초등학교 학생
しょうしゃ[商社]  상사; 상사 회사
しょうじ[障子]  ‘明り障子’의 준말; 장자; 옛날에 방에 칸을 막아 썼던 ‘ふすま·からかみ·ついたて’ 따위의 총칭
とけこむ[溶(け)込む·解(け)込む·融け込む]  녹아서 완전히 섞이다; 용해하다; 융화하다; 동화하다
ほり[堀]  땅을 파서 만든 수로; 해자
しょうきん[賞金]  상금
ようせき[容積]  용적; 용량; 체적; 부피
どこか[何処か]  어딘가; 어딘지
じょうきょう[上京]  상경
じょうきょう[状況·情況]  상황; 정황
ところが  그랬더니; 그런데; …던바; …더니; …했댔자; …해보았자
ところ[野老]  도코로마
しょうぎょう[商業]  상업
ようぶん[養分]  양분; 자양분
とたん[途端]  찰나; 막 그 순간
じゅつご[述語]  술어; 문법상의 풀이말; →きゃくご; 빈사·계사의 총칭
とだな[戸棚]  찬장
としん[都心]  도심
しゅっちょう[出張]  출장
しゅっせ[出世]  출세; 입신출세; 출가위승; 속세를 떠나 불문에 들어감
ようてん[要点]  요점
しゅやく[主役]  주역
としつき[年月]  연월; 해와 달; 세월; 광음; 긴 세월
しゅよう[主要]  주요
じゅよう[需要]  수요
じゅん[順]  순서·차례; 온순·순직함; …순; 순서를 나타냄
としょ[図書]  도서; 책
ようち[幼稚]  유치; 어림; 정도가 미숙함
しゅじんこう[主人公]  주인공; 사건·소설·극의 중심인물; 주인의 존칭
とける[解ける]  풀리다; 끌러지다; 해제되다
じゅんさ[巡査]  순경; 경찰관
じゅんじゅん[順順]  차례차례; 차차 조금씩
じゅんじょ[順序]  순서
じゅんすい[純粋]  순수
じゅんじょう[純情]  순정; 티 없이 순진한 마음
ひっこむ[引(っ)込む]  안으로 들어가다; 움패다; 틀어박히다; 칩거하다; →ひっこめる
しょ-[諸]  제…; 여러
じょ[女]  여; 여…; 여자의 뜻; …여
しょ[所]  ‘事務所·研究所’ 등의 준말; 그 일이 행하여지는 또는 그 사물이 존재하는 곳
しょ-[初]  초…; 처음의
しょう[小]  소; 작음; 잚; 작음·적음의 뜻
しよう[使用]  사용
しゅんかん[瞬間]  순간
ひっしゃ[筆者]  필자
しょうずる[生ずる]  돋아 나오다; 나다; 발생하다; 생기다; 나오게 하다
しょうすう[小数]  소수
ようそ[要素]  요소
しょうちょう[象徴]  상징; 표상
しょうてん[焦点]  초점
よ[夜]  밤
ひと-[一]  한…; 하나; 한 번; 조금; 약간
しょうじる[生じる]  →しょうずる
ひっぱる[引(っ)張る]  끌다; 끌어당기다; 당겨서 팽팽하게 하다
とる[捕る]  잡다
じょうはつ[蒸発]  증발; 액체 표면의 기화 현상; 사람의 행방이 묘연해짐; 또, 가출
じょうたい[状態]  상태
じょうせい[情勢·状勢]  정세; 형세
じょうたつ[上達]  기능이 향상됨; 상달; 상부에 전함
